CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10717,318.186198,1.00000,3548.64,2949.37,599.27,0.00,1.00000,0.91667,1.00000,0.00000,0,51,20000.00,3908.96,199.62,1.00000,12
C10718,448.190189,1.00000,1687.29,1687.29,0.00,0.00,0.50000,0.50000,0.00000,0.00000,0,8,11500.00,1464.00,261.03,0.16667,12
C10719,908.354652,1.00000,231.35,0.00,231.35,944.18,1.00000,0.00000,0.85714,0.14286,3,7,1000.00,161.98,930.12,0.00000,7
C10720,546.844163,1.00000,2427.26,1587.34,839.92,0.00,1.00000,1.00000,1.00000,0.00000,0,30,5000.00,1747.70,176.21,0.33333,12
C10721,763.327047,1.00000,579.28,300.00,279.28,727.53,0.50000,0.16667,0.41667,0.08333,1,13,1200.00,635.87,220.69,0.00000,12
C10722,1495.801569,1.00000,420.03,320.03,100.00,0.00,1.00000,0.25000,1.00000,0.00000,0,16,6600.00,1283.89,389.19,0.00000,12
C10723,7006.751866,1.00000,328.92,328.92,0.00,9497.70,0.16667,0.16667,0.00000,0.66667,12,2,10000.00,659.56,1400.68,0.00000,6
C10724,4414.952906,1.00000,419.64,0.00,419.64,0.00,1.00000,0.00000,1.00000,0.00000,0,12,4200.00,467.20,24302.10,0.00000,12
C10725,255.052529,1.00000,3267.03,1439.07,1827.96,0.00,1.00000,1.00000,1.00000,0.00000,0,101,6000.00,2841.85,173.71,1.00000,12
C10726,1167.045536,1.00000,294.13,65.00,229.13,0.00,0.91667,0.08333,0.83333,0.00000,0,12,1500.00,686.38,266.50,0.00000,12
C10727,3063.017462,1.00000,0.00,0.00,0.00,3550.21,0.00000,0.00000,0.00000,0.16667,3,0,5500.00,757.54,891.06,0.00000,12
C10728,1546.216153,0.83333,0.00,0.00,0.00,2196.11,0.00000,0.00000,0.00000,0.16667,5,0,3000.00,247.71,310.58,0.00000,6
C10729,999.392635,1.00000,0.00,0.00,0.00,2368.25,0.00000,0.00000,0.00000,0.33333,10,0,1500.00,1724.18,301.35,0.10000,12
C10730,3386.992510,1.00000,171.92,171.92,0.00,0.00,0.41667,0.41667,0.00000,0.00000,0,5,4500.00,907.87,912.27,0.00000,12
C10731,963.572006,1.00000,2210.97,1741.30,469.67,0.00,1.00000,1.00000,0.41667,0.00000,0,50,9500.00,2946.75,345.15,0.00000,12
C10732,454.580913,1.00000,1229.57,1229.57,0.00,0.00,0.41667,0.41667,0.00000,0.00000,0,16,2700.00,1125.50,192.98,0.00000,12
C10733,2572.508325,1.00000,64.00,64.00,0.00,248.69,0.08333,0.08333,0.00000,0.08333,2,1,2800.00,373.43,3945.39,0.00000,12
C10734,2596.599930,1.00000,0.00,0.00,0.00,1700.07,0.00000,0.00000,0.00000,0.50000,9,0,3000.00,1794.42,936.62,0.00000,12
C10735,13763.473580,1.00000,9670.84,6701.08,2969.76,1896.20,1.00000,0.75000,1.00000,0.16667,2,88,17500.00,24199.11,3039.14,0.08333,12
C10736,1861.026633,1.00000,7446.18,6376.98,1069.20,2817.03,1.00000,1.00000,1.00000,0.25000,5,82,10000.00,10274.93,528.24,0.33333,12
C10737,5422.456378,1.00000,0.00,0.00,0.00,9972.23,0.00000,0.00000,0.00000,0.16667,2,0,14000.00,1661.69,1949.81,0.00000,12
C10738,838.616485,1.00000,375.57,375.57,0.00,99.59,0.25000,0.25000,0.00000,0.08333,1,3,6000.00,779.06,179.43,0.00000,12
C10739,446.735142,1.00000,5228.36,2337.44,2890.92,0.00,1.00000,1.00000,1.00000,0.00000,0,71,3000.00,4843.74,177.05,0.45455,12
C10740,88.823762,1.00000,291.65,0.00,291.65,0.00,0.75000,0.00000,0.66667,0.00000,0,10,8000.00,341.38,209.32,0.08333,12
C10741,821.916526,0.85714,1386.40,1386.40,0.00,0.00,0.28571,0.28571,0.00000,0.00000,0,3,1500.00,238.35,154.56,0.00000,7
C10742,3714.539663,1.00000,1307.16,1307.16,0.00,4245.84,1.00000,1.00000,0.00000,0.33333,4,24,5000.00,1529.77,1212.95,0.00000,12
C10743,7811.234174,1.00000,0.00,0.00,0.00,6372.11,0.00000,0.00000,0.00000,0.33333,8,0,16000.00,2322.06,1831.02,0.00000,12
C10744,1024.761905,1.00000,77.99,77.99,0.00,0.00,0.16667,0.16667,0.00000,0.00000,0,2,1200.00,555.23,303.74,0.00000,12
C10745,2386.932058,1.00000,861.79,181.81,679.98,457.70,0.33333,0.16667,0.16667,0.08333,1,7,6000.00,6532.69,634.39,0.08333,12
C10746,15.492415,1.00000,65.00,65.00,0.00,0.00,0.08333,0.08333,0.00000,0.00000,0,1,3000.00,19.22,67.64,0.00000,12
C10747,2643.876192,0.81818,798.34,277.00,521.34,3206.81,0.50000,0.25000,0.41667,0.16667,2,19,4500.00,728.06,769.63,0.00000,12
C10748,4881.822347,1.00000,0.00,0.00,0.00,223.95,0.00000,0.00000,0.00000,0.25000,3,0,8500.00,1227.06,1208.46,0.00000,12
C10749,1855.212121,1.00000,32.22,32.22,0.00,37.74,0.08333,0.08333,0.00000,0.08333,1,1,2000.00,349.58,695.50,0.00000,12
C10750,13774.741540,1.00000,404.24,0.00,404.24,3369.47,0.25000,0.00000,0.25000,0.50000,7,3,14500.00,3167.87,3533.46,0.00000,12
C10751,251.151609,0.36364,0.00,0.00,0.00,1084.81,0.00000,0.00000,0.00000,0.16667,4,0,1200.00,3597.14,308.40,0.33333,12
C10752,1355.180523,0.90909,8820.67,2549.65,6271.02,0.00,0.75000,0.58333,0.58333,0.00000,0,37,6500.00,3609.32,416.41,0.00000,12
C10753,6713.551391,1.00000,7590.08,7403.57,186.51,1596.57,0.66667,0.66667,0.16667,0.16667,4,81,10000.00,2344.43,4676.63,0.00000,12
C10754,2398.262620,1.00000,0.00,0.00,0.00,722.36,0.00000,0.00000,0.00000,0.41667,8,0,6000.00,738.31,879.04,0.00000,12
C10755,1433.857464,1.00000,1613.74,800.87,812.87,0.00,1.00000,0.41667,0.83333,0.00000,0,37,1500.00,1361.68,1854.08,0.00000,12
C10756,142.406825,1.00000,1214.74,574.33,640.41,0.00,1.00000,0.33333,1.00000,0.00000,0,48,11000.00,941.92,180.40,0.75000,12
C10757,660.397749,1.00000,776.89,698.99,77.90,0.00,0.16667,0.08333,0.08333,0.00000,0,2,1500.00,487.29,215.01,0.00000,12
C10758,4834.586867,1.00000,0.00,0.00,0.00,56.75,0.00000,0.00000,0.00000,0.10000,1,0,5500.00,874.37,1582.52,0.00000,10
C10759,2571.284657,1.00000,0.00,0.00,0.00,259.61,0.00000,0.00000,0.00000,0.41667,7,0,2750.00,750.53,883.25,0.00000,12
C10760,492.916599,1.00000,4371.82,2765.16,1606.66,0.00,1.00000,0.91667,1.00000,0.00000,0,97,20000.00,3603.23,207.89,0.58333,12
C10761,2752.146656,1.00000,1648.53,618.55,1029.98,2146.51,1.00000,0.33333,1.00000,0.25000,4,46,6500.00,1427.73,1342.19,0.00000,12
C10762,7715.659048,1.00000,0.00,0.00,0.00,6182.98,0.00000,0.00000,0.00000,1.00000,62,0,11500.00,1777.00,2412.54,0.00000,12
C10763,0.255710,0.09091,24.00,0.00,24.00,0.00,0.16667,0.00000,0.16667,0.00000,0,2,1500.00,9.53,8.84,0.00000,12
C10764,95.865855,0.36364,1123.58,1123.58,0.00,0.00,0.08333,0.08333,0.00000,0.00000,0,9,1500.00,3245.50,142.87,0.00000,12
C10765,1439.343061,0.90909,571.91,571.91,0.00,0.00,0.25000,0.25000,0.00000,0.00000,0,5,2100.00,2573.56,756.22,0.00000,12
C10766,5603.045332,1.00000,0.00,0.00,0.00,2909.49,0.00000,0.00000,0.00000,0.41667,6,0,7500.00,6135.14,2279.35,0.00000,12
C10767,1.691842,1.00000,0.00,0.00,0.00,1148.82,0.00000,0.00000,0.00000,0.16667,3,0,1500.00,3.50,8.56,0.00000,6
C10768,83.279345,1.00000,1080.11,0.00,1080.11,0.00,1.00000,0.00000,1.00000,0.00000,0,23,9000.00,1065.33,178.12,1.00000,12
C10769,1157.168369,1.00000,0.00,0.00,0.00,1249.68,0.00000,0.00000,0.00000,0.58333,10,0,3000.00,264.55,326.32,0.00000,12
C10770,1560.533094,0.77778,749.57,209.77,539.80,4096.91,0.66667,0.22222,0.44444,0.66667,19,7,6000.00,617.47,414.82,0.00000,9
C10771,1575.508838,0.87500,0.00,0.00,0.00,1977.83,0.00000,0.00000,0.00000,0.12500,1,0,2500.00,260.84,325.31,0.00000,8
C10772,1544.979869,1.00000,880.19,0.00,927.45,0.00,1.00000,0.00000,1.00000,0.00000,0,46,1500.00,1189.50,1104.15,0.00000,12
C10773,1350.286625,1.00000,642.33,642.33,0.00,0.00,0.50000,0.50000,0.00000,0.00000,0,12,9000.00,323.68,344.97,0.00000,12
C10774,1261.488342,1.00000,890.20,890.20,0.00,0.00,0.50000,0.50000,0.00000,0.00000,0,9,3000.00,302.07,330.88,0.00000,12
C10775,1274.851959,1.00000,1798.24,144.86,1653.38,756.23,1.00000,0.16667,0.91667,0.16667,3,17,1500.00,1340.22,1732.96,0.00000,12
C10776,1646.715644,1.00000,2720.68,2580.19,140.49,0.00,1.00000,0.83333,0.66667,0.00000,0,49,5000.00,2800.41,357.59,0.00000,12
C10777,3121.267822,0.88889,4139.56,4139.56,0.00,3607.41,0.33333,0.33333,0.00000,0.22222,3,8,9000.00,1600.27,597.16,0.00000,9
C10779,3406.473855,1.00000,1140.00,0.00,1140.00,0.00,0.50000,0.00000,0.50000,0.00000,0,6,3650.00,2541.20,2559.35,0.00000,12
C10780,4006.206157,1.00000,169.28,0.00,169.28,2868.73,0.58333,0.00000,0.58333,0.25000,7,7,6000.00,1553.16,988.71,0.00000,12
C10781,915.424422,0.85714,0.00,0.00,0.00,2454.44,0.00000,0.00000,0.00000,0.42857,6,0,1200.00,1665.03,247.21,0.00000,7
C10782,4193.283047,1.00000,183.70,183.70,0.00,1585.71,0.25000,0.25000,0.00000,0.16667,4,4,10500.00,1030.09,1116.00,0.00000,12
C10783,10397.099890,1.00000,0.00,0.00,0.00,4045.62,0.00000,0.00000,0.00000,0.25000,6,0,13000.00,3222.17,2818.71,0.00000,12
C10784,2830.364475,1.00000,1412.76,0.00,1412.76,2045.09,1.00000,0.00000,1.00000,0.41667,6,25,5000.00,6940.28,759.35,0.00000,12
C10785,5499.895765,1.00000,0.00,0.00,0.00,485.27,0.00000,0.00000,0.00000,0.33333,6,0,6000.00,1445.29,2703.22,0.00000,12
C10786,815.427615,1.00000,1936.01,1471.04,464.97,232.29,0.91667,0.50000,1.00000,0.08333,1,27,2000.00,1759.12,232.08,0.00000,12
C10787,756.041971,0.87500,2486.10,2052.75,433.35,0.00,0.87500,0.87500,0.50000,0.00000,0,33,4000.00,948.09,1356.09,0.00000,8
C10788,5271.415483,1.00000,0.00,0.00,0.00,2193.80,0.00000,0.00000,0.00000,0.25000,7,0,6500.00,1479.00,1321.47,0.00000,12
C10789,23.276656,0.63636,796.56,0.00,796.56,0.00,1.00000,0.00000,1.00000,0.00000,0,13,4000.00,912.48,102.90,0.63636,12
C10790,5639.464394,1.00000,717.18,399.15,318.03,3856.97,0.41667,0.16667,0.25000,0.75000,16,7,7000.00,1460.65,1540.18,0.00000,12
C10791,5308.906350,1.00000,0.00,0.00,0.00,4954.61,0.00000,0.00000,0.00000,0.50000,21,0,9500.00,1334.75,1272.08,0.00000,12
C10792,62.209376,0.09091,782.88,782.88,0.00,0.00,0.08333,0.08333,0.00000,0.00000,0,2,3000.00,2941.30,280.62,0.00000,12
C10793,2052.325610,1.00000,0.00,0.00,0.00,200.27,0.00000,0.00000,0.00000,0.33333,5,0,2000.00,529.20,1501.87,0.00000,12
C10794,56.720267,0.81818,260.00,260.00,0.00,0.00,0.08333,0.08333,0.00000,0.00000,0,1,5500.00,278.98,92.07,0.00000,12
C10795,1121.068043,1.00000,0.00,0.00,0.00,56.46,0.00000,0.00000,0.00000,0.16667,3,0,1200.00,236.09,351.18,0.00000,12
C10796,9470.184980,1.00000,49.19,0.00,49.19,4078.30,0.41667,0.00000,0.41667,0.25000,6,5,12000.00,2230.96,2672.61,0.00000,12
C10797,2388.503738,1.00000,4021.29,2303.60,1717.69,2075.78,1.00000,1.00000,0.50000,0.33333,4,44,5000.00,2851.05,794.32,0.00000,12
C10798,1955.179305,1.00000,503.45,503.45,0.00,0.00,0.08333,0.08333,0.00000,0.00000,0,1,10500.00,685.66,495.65,0.00000,12
C10799,432.915949,1.00000,4430.17,3628.67,801.50,0.00,1.00000,1.00000,1.00000,0.00000,0,78,8500.00,4301.60,186.74,1.00000,12
C10800,2027.896903,1.00000,933.50,933.50,0.00,1160.28,0.08333,0.08333,0.00000,0.08333,2,1,3000.00,393.42,462.15,0.00000,12
C10801,1252.583090,1.00000,1163.93,950.03,213.90,0.00,0.83333,0.75000,0.41667,0.00000,0,22,5000.00,0.00,,0.00000,12
C10803,1822.431990,1.00000,177.23,70.26,106.97,0.00,0.08333,0.08333,0.08333,0.00000,0,3,2500.00,1136.34,428.35,0.00000,12
C10804,1557.750089,1.00000,283.60,204.27,79.33,0.00,0.25000,0.12500,0.12500,0.00000,0,2,5000.00,424.83,282.15,0.00000,8
C10805,3879.064446,1.00000,9796.28,9536.28,260.00,1959.01,1.00000,0.83333,0.58333,0.16667,2,45,19000.00,12667.91,968.36,0.33333,12
C10806,708.509086,1.00000,2109.61,1734.61,375.00,366.01,1.00000,0.58333,1.00000,0.16667,3,19,6500.00,4591.16,296.68,0.18182,12
C10807,2748.608770,1.00000,0.00,0.00,0.00,434.32,0.00000,0.00000,0.00000,0.16667,4,0,3000.00,808.88,1663.97,0.00000,12
C10808,4343.537475,1.00000,1326.30,1326.30,0.00,1123.25,1.00000,1.00000,0.00000,0.16667,2,23,4500.00,1373.69,3414.22,0.00000,12
C10809,8646.143734,1.00000,0.00,0.00,0.00,10204.12,0.00000,0.00000,0.00000,0.41667,9,0,10000.00,11192.80,3427.64,0.00000,12
C10810,90.445498,0.45455,0.00,0.00,0.00,729.33,0.00000,0.00000,0.00000,0.16667,2,0,3500.00,79.24,81.72,0.00000,12
C10811,9164.724752,1.00000,3407.69,2074.16,1333.53,2063.86,1.00000,0.83333,1.00000,0.16667,5,77,9500.00,0.00,,0.00000,12
C10812,298.592251,1.00000,1804.09,620.16,1183.93,327.48,0.91667,0.91667,0.66667,0.25000,3,27,7500.00,1672.05,190.89,0.18182,12
C10813,88.242406,0.63636,758.31,0.00,758.31,0.00,0.58333,0.00000,0.50000,0.00000,0,7,6000.00,501.41,83.04,0.41667,12
C10814,14.731998,0.81818,121.50,0.00,121.50,0.00,0.81818,0.00000,0.81818,0.00000,0,9,4000.00,137.15,125.14,0.00000,11
C10815,5211.229218,1.00000,0.00,0.00,0.00,2316.21,0.00000,0.00000,0.00000,0.41667,10,0,5500.00,1009.55,2092.29,0.00000,12
C10816,835.007085,0.75000,90.39,90.39,0.00,1160.46,0.12500,0.12500,0.00000,0.12500,1,1,1500.00,254.56,152.22,0.00000,8
C10817,2302.479845,1.00000,0.00,0.00,0.00,861.57,0.00000,0.00000,0.00000,0.75000,9,0,2600.00,0.00,,0.00000,12
C10818,1782.997768,0.90909,0.00,0.00,0.00,16037.33,0.00000,0.00000,0.00000,0.41667,11,0,10000.00,15923.29,517.60,0.00000,12
C10819,2435.823938,1.00000,749.30,393.50,355.80,0.00,0.58333,0.08333,0.50000,0.00000,0,8,8500.00,2501.13,541.51,0.00000,12
C10820,10.096031,1.00000,184.92,0.00,184.92,0.00,1.00000,0.00000,1.00000,0.00000,0,12,4000.00,185.19,129.99,0.54546,12
C10821,1524.409377,1.00000,70.00,0.00,70.00,640.71,0.16667,0.00000,0.16667,0.50000,9,2,1500.00,973.10,1263.14,0.00000,12
C10822,1819.529197,1.00000,219.26,219.26,0.00,977.93,0.25000,0.25000,0.00000,0.33333,7,5,2500.00,518.95,1223.34,0.00000,12
C10823,4.607593,0.18182,44.55,44.55,0.00,0.00,0.08333,0.08333,0.00000,0.00000,0,1,6000.00,267.15,88.03,0.00000,12
C10824,644.530629,1.00000,268.68,0.00,268.68,0.00,1.00000,0.00000,1.00000,0.00000,0,12,1200.00,1557.69,438.32,0.16667,12
C10825,147.180819,0.63636,0.00,0.00,0.00,1843.43,0.00000,0.00000,0.00000,0.16667,6,0,2600.00,0.00,,0.00000,12
C10826,197.555397,1.00000,1876.80,0.00,1876.80,0.00,1.00000,0.00000,1.00000,0.00000,0,12,5000.00,1715.21,163.66,1.00000,12
C10827,1716.622291,1.00000,455.76,36.00,419.76,0.00,1.00000,0.08333,1.00000,0.00000,0,13,1700.00,881.43,1066.80,0.00000,12
C10828,26.680023,0.54546,520.50,0.00,520.50,0.00,0.50000,0.00000,0.50000,0.00000,0,15,4000.00,551.37,88.81,0.45455,12
C10829,5359.980872,1.00000,0.00,0.00,0.00,1113.87,0.00000,0.00000,0.00000,0.25000,3,0,6000.00,638.14,12866.94,0.00000,12
C10830,772.546910,1.00000,8519.02,8003.21,515.81,237.07,1.00000,1.00000,1.00000,0.08333,1,117,17500.00,5828.99,270.77,0.83333,12
C10831,83.477053,0.18182,0.00,0.00,0.00,2654.86,0.00000,0.00000,0.00000,0.08333,2,0,3000.00,12902.19,1791.73,0.50000,12
C10832,2654.816967,1.00000,0.00,0.00,0.00,3469.66,0.00000,0.00000,0.00000,0.25000,27,0,4000.00,3225.13,1689.94,0.00000,12
C10833,81.762162,0.90909,777.04,521.46,255.58,0.00,0.83333,0.50000,0.75000,0.00000,0,20,7500.00,753.81,162.76,0.00000,12
C10834,1373.277423,0.81818,0.00,0.00,0.00,2739.67,0.00000,0.00000,0.00000,0.16667,2,0,3300.00,0.00,,0.00000,12
C10835,1773.445786,1.00000,4504.25,2986.66,1517.59,0.00,0.50000,0.50000,0.41667,0.00000,0,37,8500.00,278.70,561.33,0.00000,12
C10836,227.073510,1.00000,2370.01,1682.03,687.98,0.00,1.00000,0.33333,1.00000,0.00000,0,35,4200.00,1948.36,163.00,0.83333,12
C10837,155.924331,0.81818,517.14,460.57,56.57,0.00,0.41667,0.25000,0.16667,0.00000,0,7,3000.00,369.73,131.40,0.00000,12
C10838,4767.644535,1.00000,806.00,481.00,325.00,1705.72,1.00000,0.08333,1.00000,0.16667,3,25,8000.00,880.20,2203.28,0.00000,12
C10839,2574.852985,1.00000,578.66,578.66,0.00,6390.67,1.00000,1.00000,0.00000,0.27273,4,12,9500.00,3219.44,728.74,0.00000,11
C10840,3405.005439,1.00000,8.40,8.40,0.00,0.00,1.00000,1.00000,0.00000,0.00000,0,12,10500.00,1015.70,795.09,0.00000,12
C10841,3517.561446,1.00000,173.69,173.69,0.00,3122.99,0.16667,0.16667,0.00000,0.41667,6,2,5000.00,5091.30,796.03,0.00000,12
C10843,1748.546186,1.00000,74.98,74.98,0.00,216.03,0.16667,0.16667,0.00000,0.25000,5,2,1800.00,650.44,572.68,0.00000,12
C10844,4.503251,0.18182,60.24,0.00,60.24,0.00,0.16667,0.00000,0.16667,0.00000,0,2,4000.00,471.23,110.53,0.50000,12
C10845,2717.915641,1.00000,1500.00,1500.00,0.00,475.12,0.08333,0.08333,0.00000,0.08333,1,2,4600.00,949.59,885.38,0.00000,12
C10846,1841.359829,1.00000,2280.58,0.00,2280.58,0.00,1.00000,0.00000,0.91667,0.00000,0,20,1800.00,2463.11,1947.92,0.00000,12
C10847,1399.729932,1.00000,0.00,0.00,0.00,1967.78,0.00000,0.00000,0.00000,0.33333,5,0,3000.00,712.80,316.46,0.00000,12
C10848,674.817091,1.00000,1152.83,0.00,1152.83,0.00,1.00000,0.00000,1.00000,0.00000,0,21,7000.00,0.00,,0.00000,12
C10849,2406.569238,1.00000,0.00,0.00,0.00,94.71,0.00000,0.00000,0.00000,0.25000,4,0,2400.00,314.27,10774.74,0.00000,12
C10850,285.308422,0.18182,0.00,0.00,0.00,2644.70,0.00000,0.00000,0.00000,0.16667,7,0,3000.00,248.74,572.39,0.00000,12
C10852,1011.110679,1.00000,186.11,61.11,125.00,0.00,0.33333,0.08333,0.25000,0.00000,0,5,3000.00,634.85,227.16,0.00000,12
C10853,1358.890643,1.00000,89.90,28.00,61.90,0.00,0.33333,0.08333,0.16667,0.00000,0,4,7000.00,323.34,409.65,0.00000,12
C10854,1392.773202,1.00000,221.61,221.61,0.00,0.00,0.66667,0.66667,0.00000,0.00000,0,8,1700.00,369.35,294.38,0.00000,12
C10855,487.584965,0.72727,4768.27,4768.27,0.00,0.00,0.72727,0.72727,0.00000,0.00000,0,27,2500.00,1980.21,149.49,0.45455,11
C10856,1892.439622,1.00000,86.70,86.70,0.00,92.44,0.16667,0.16667,0.00000,0.08333,2,2,2000.00,534.09,1069.93,0.00000,12
C10857,3957.419199,1.00000,1162.63,1021.67,140.96,3808.25,0.50000,0.41667,0.16667,0.66667,21,14,7500.00,1476.99,1451.02,0.00000,12
C10858,920.968431,1.00000,977.38,615.99,361.39,0.00,0.83333,0.25000,0.83333,0.00000,0,18,3350.00,549.40,266.85,0.00000,12
C10859,227.781773,1.00000,1497.82,690.57,807.25,0.00,1.00000,0.33333,0.83333,0.00000,0,31,3500.00,342.80,183.96,0.09091,12
C10860,4270.148411,0.88889,363.00,363.00,0.00,5307.32,0.11111,0.11111,0.00000,0.55556,11,2,5500.00,1250.70,2070.91,0.00000,9
C10861,4115.739163,1.00000,0.00,0.00,0.00,540.25,0.00000,0.00000,0.00000,0.25000,3,0,8500.00,1006.26,1313.53,0.00000,12
C10862,1375.845223,1.00000,0.00,0.00,0.00,112.68,0.00000,0.00000,0.00000,0.25000,3,0,1500.00,306.61,736.79,0.00000,12
C10863,1300.593766,1.00000,0.00,0.00,0.00,513.66,0.00000,0.00000,0.00000,0.16667,3,0,3000.00,386.66,396.64,0.00000,12
C10864,1437.895562,1.00000,350.00,0.00,350.00,0.00,0.16667,0.00000,0.16667,0.00000,0,2,4000.00,0.00,,0.00000,12
C10865,1304.357015,1.00000,1488.80,987.68,501.12,858.52,0.83333,0.25000,0.58333,0.16667,2,21,2000.00,612.67,341.52,0.00000,12
C10866,1372.725482,1.00000,992.25,651.40,340.85,667.82,0.83333,0.25000,0.75000,0.25000,3,18,4500.00,2899.14,464.14,0.00000,12
C10867,938.177781,1.00000,1288.42,0.00,1288.42,0.00,0.91667,0.00000,0.91667,0.00000,0,23,1500.00,1018.54,196.72,0.00000,12
C10868,129.374100,1.00000,1102.72,0.00,1102.72,0.00,1.00000,0.00000,1.00000,0.00000,0,15,4000.00,1123.52,178.44,0.83333,12
C10869,161.198861,1.00000,536.68,103.00,433.68,0.00,1.00000,0.08333,1.00000,0.00000,0,13,1000.00,280.83,165.30,0.09091,12
C10870,825.977042,1.00000,0.00,0.00,0.00,904.46,0.00000,0.00000,0.00000,0.16667,4,0,2500.00,522.92,170.40,0.00000,12
C10871,230.359954,1.00000,2163.12,1383.12,780.00,0.00,1.00000,1.00000,0.33333,0.00000,0,23,4000.00,0.00,,0.00000,12
C10872,3616.993845,0.88889,0.00,0.00,0.00,4947.78,0.00000,0.00000,0.00000,0.55556,7,0,5500.00,529.73,1294.50,0.00000,9
C10873,8220.740014,1.00000,5197.22,4001.41,1195.81,18857.06,1.00000,0.57143,0.85714,1.00000,25,15,13000.00,12886.44,1287.32,0.20000,7
C10874,4438.521324,1.00000,591.84,109.16,482.68,564.37,0.63636,0.18182,0.45455,0.27273,3,11,17000.00,5552.60,1094.49,0.00000,11
C10875,2210.404961,1.00000,1790.64,1358.40,432.24,1660.67,1.00000,0.83333,1.00000,0.75000,18,52,10500.00,8862.84,478.82,0.00000,12
C10876,2315.003636,1.00000,0.00,0.00,0.00,3253.03,0.00000,0.00000,0.00000,0.66667,27,0,3000.00,2467.95,986.84,0.00000,12
C10877,1255.779743,1.00000,385.00,385.00,0.00,0.00,0.16667,0.16667,0.00000,0.00000,0,2,5000.00,0.00,,0.00000,12
C10878,62.596086,1.00000,475.00,0.00,475.00,0.00,1.00000,0.00000,0.91667,0.00000,0,12,1500.00,408.13,170.45,0.90000,12
C10879,5280.649637,1.00000,0.00,0.00,0.00,1786.83,0.00000,0.00000,0.00000,0.33333,4,0,6000.00,1648.30,1264.64,0.00000,12
C10880,170.907823,0.90909,1366.30,1366.30,0.00,0.00,0.50000,0.50000,0.00000,0.00000,0,11,2000.00,3453.11,139.39,0.40000,12
C10881,1271.212003,0.90909,76.94,76.94,0.00,0.00,0.18182,0.18182,0.00000,0.00000,0,2,1500.00,257.11,277.71,0.00000,11
C10882,11083.325420,1.00000,2126.70,2026.70,100.00,1622.22,0.50000,0.25000,0.41667,0.50000,7,10,15000.00,2494.03,2642.94,0.00000,12
C10883,992.599867,1.00000,100.00,100.00,0.00,593.18,0.08333,0.08333,0.00000,0.16667,3,1,1200.00,0.00,,0.00000,12
C10884,10131.000550,1.00000,0.00,0.00,0.00,3330.33,0.00000,0.00000,0.00000,0.16667,5,0,14500.00,4056.94,2592.31,0.00000,12
C10885,4419.302940,1.00000,12551.95,10901.24,1650.71,14896.54,1.00000,0.66667,1.00000,0.50000,19,122,17000.00,31698.42,1448.59,0.41667,12
C10886,2173.621597,1.00000,200.00,200.00,0.00,201.40,0.08333,0.08333,0.00000,0.25000,4,1,8000.00,495.97,502.77,0.00000,12
C10887,9901.685569,1.00000,2190.95,832.49,1358.46,1913.35,1.00000,0.41667,0.91667,0.25000,4,43,11500.00,2972.25,2849.24,0.00000,12
C10888,2320.309453,1.00000,2896.05,2209.21,686.84,187.03,1.00000,0.91667,0.91667,0.08333,1,90,13500.00,1341.20,559.28,0.00000,12
C10889,910.072514,1.00000,18.05,0.00,18.05,19.12,0.08333,0.00000,0.08333,0.08333,1,1,1000.00,233.89,230.81,0.00000,12
C10890,1374.460976,1.00000,1990.81,0.00,1990.81,0.00,1.00000,0.00000,0.91667,0.00000,0,31,5000.00,0.00,,0.00000,12
C10891,0.000000,0.00000,199.88,0.00,199.88,0.00,0.75000,0.00000,0.75000,0.00000,0,14,4000.00,0.00,,0.00000,12
C10892,268.493643,1.00000,4917.48,3300.10,1617.38,0.00,1.00000,0.25000,1.00000,0.00000,0,31,13500.00,3552.17,78.90,0.37500,12
C10893,1827.200326,1.00000,1325.27,1161.66,163.61,0.00,0.75000,0.50000,0.41667,0.00000,0,21,4000.00,666.37,531.30,0.00000,12
C10894,1029.668740,1.00000,1448.59,1229.00,219.59,1070.17,0.66667,0.25000,0.50000,0.16667,2,18,1200.00,3008.28,1054.34,0.08333,12
C10895,993.533549,1.00000,851.68,0.00,851.68,1515.65,0.83333,0.00000,0.75000,0.08333,4,12,1500.00,1660.24,512.34,0.00000,12
C10896,3150.679884,1.00000,0.00,0.00,0.00,365.82,0.00000,0.00000,0.00000,0.41667,5,0,3500.00,819.25,805.48,0.00000,12
C10897,11654.554920,1.00000,463.00,74.00,389.00,3096.81,0.58333,0.08333,0.41667,0.41667,17,7,12500.00,3024.61,5148.05,0.00000,12
C10898,1254.970145,1.00000,769.34,769.34,0.00,2234.78,0.16667,0.16667,0.00000,0.33333,7,3,7000.00,0.00,,0.00000,12
C10899,2174.018945,1.00000,377.10,177.62,199.48,388.85,0.33333,0.08333,0.25000,0.16667,2,5,2600.00,0.00,,0.00000,12
C10900,1076.029456,1.00000,0.00,0.00,0.00,59.57,0.00000,0.00000,0.00000,0.08333,2,0,1200.00,239.41,363.52,0.00000,12
